title| body| state| number| assingnee| labels| milestone
Develop a parser for arbitrary expressions in the calc engine|"**Problem Statement**Currently, Calculator executes all operations in immediate mode--press an operator, get a new answer. For multiple scenarios, it would be useful for the user to enter an expression like '(5 + 2) * 3' and have Calculator parse and compute the result.**Evidence or User Insights**Several proposed features could leverage this work:- Expression paste #344 (includes some prototype code which could be useful for this effort)- History editing #163 - Input via ink or voice #24, #288 - Editing expressions in scientific calculator #520**Proposal**Add code and tests to the calc engine to parse mathematical expressions as strings.**Goals**- A developer can use the CalcManager library to convert an expression into a numerical result- Expressions support order of operations, e.g. '(5 + 2) * 3' = 21- Expressions support evaluation of functions, e.g. 'sqrt(4)'    - Functions are implemented for as many existing calculator operators as possible    - Each function has a thoughtful name informed by similar systems- Expressions are evaluated using the arbitrary-precision engine- When invalid expressions are passed to the engine, error information is returned which could be used to construct a helpful error message- Parsing and evaluation is deterministic, and ideally not locale-dependent- The parser can find expressions embedded in natural language sentences with loose syntax (e.g. 'what is the square root of sin(3 - 2)' evaluates to 'what is the square root of [expression tree]'), for future use in voice input scenarios**Non-Goals**- Integrate expression parsing with the Calculator UI (tracked by other issues)- Natural language intent recognition, e.g. 'what is the square root of 4' evaluating to 'sqrt(4)'**Requested Assignment**I'm happy to help with this, but would be great for someone else to implement."|open|526|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1243554125,"node_id":"MDU6TGFiZWwxMjQzNTU0MTI1","url":"https://api.github.com/repos/microsoft/calculator/labels/Pri:%201","name":"Pri: 1","color":"EEEEEE","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Add Matrix & Vector Modes|"**Problem Statement**Matrix and Vector math can be complicated and hard, but is a vital thing to understand in college-level math for [various fields of study](https://www.decodedscience.org/practical-uses-matrix-mathematics/40494), especially [computer graphics](http://news.mit.edu/2013/explained-matrices-1206) and [artificial intelligence](https://towardsdatascience.com/the-mathematics-of-machine-learning-894f046c568). Having a calculator to help with basic calculations can help users focus on the results and understanding than tedium after initial skills have been learned in class.  By making matrices/vector math more discoverable and easier to process, we can make the skills required for these advanced fields more approachable.**Evidence or User Insights**There are [many](https://www.symbolab.com/solver/matrix-calculator) [online](https://matrixcalc.org/en/) [matrix](https://matrix.reshish.com/multiplication.php) [calculators](https://www.emathhelp.net/calculators/linear-algebra/matrix-calculator/) available.  Having one available inbox that works offline would be a great benefit, just like #338.Inspired by [this comment](https://github.com/microsoft/calculator/issues/512#issuecomment-494408824) on #512.**Proposal**<!--How will the solution/feature help us solve the problem? How will it meet the target audience’s needs? If there are business goals or metrics, how does this improve them?-->I think these modes are combined as matrix math can lead to a vector which then may want to be manipulated.  They could also have similar interfaces to be shared, so it could make sense for them to overlap.  The keyboard should be contextual anyway and only highlight/enable operations that make sense for the current state of the calculator.This mode should allow a user to visually set the vector/matrix/matrices size(s) and click with in each cell to enter values (or use number keys and return to enter a value and then proceed to next empty cell or arrow keys to navigate cells).  They should be able to see a single matrix or two matrices to perform operations involving 1 or 2 matrices.After performing an operation, the matrix display should update to show the resulting matrix/value.  The user should be able to click within their history to also restore the original matrices states from before the operation (i.e. to go back a step and re-perform a different operation).**Goals**<!--What you want to accomplish with this feature. Typical examples include'User Can *perform some task*'-->- [ ] Perform single matrix operations (Transpose, Inverse, Rank, Determinate, Power, etc...)- [ ] Perform two matrix operations (Add, Subtract, Multiple, Divide)- [ ] Work with Vectors and dot/cross product as well- [ ] Able to restore working state from History- [ ] Click in matrix cell to modify value- [ ] Use arrow keys to navigate matrix cells- [ ] Enter matrix values efficiently with keyboard**Non-Goals**<!--Things we are explicitly not doing or supporting or that are out of scope, including reasons why.-->**Low-Fidelity Concept**<!--Show as much of the experience as needed to explain the idea. This can be as simple as a napkin drawing but can also be a code prototype, or a design comp. Keep it simple at this stage, as it can be refined later during the pre-production stage.-->![image](https://user-images.githubusercontent.com/24302614/58153469-eb023200-7c23-11e9-83fb-25f1c4267ee1.png)**Requested Assignment**I'm just suggesting this idea.  I don't want to implement it."|open|517|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Converter should integrate (or reuse) online unit conversions (Bing or similar services) to increase category/unit coverage|"<!--See https://github.com/Microsoft/calculator/blob/master/docs/NewFeatureProcess.md for suggestions on how to write a good feature pitch. Just want to submit an idea quickly? Try Feedback Hub instead: https://insider.windows.com/en-us/fb/?contextid=130-->**Problem Statement**The proposed feature is to add more comprehensive coverage of categories and units for Converter through some form of integration with newly created or existing online systems.Calculator provides unit conversions for 13 categories (Currency, Volume, Length, Weight/Mass, Temperature, Energy, Area, Speed, Time, Power, Data, Pressure, Angle) via the main Hamburger Menu. Length has for example selections for 11 units (Nanometer, Microns, Millimeters, Centimeters, Meters, Kilometers, Inches, Feed, Yards, Miles, Nautical Miles) and outputs additional 'practical' units in the UI (Paperclips). While the current hard-coded list of conversions in calculator is reasonably extensive, the fixed set of units can quickly reach its limits, in particular when scientific or rare units are required (see evidence below). Once a user hits a unit conversion limitation, they will likely turn to search engines which generally provide the requested conversions directly from the search box. This slows down the user trying to perform unit conversions (context switch to browser, copy-and-paste of converted results) overall diminishes the value of the unit conversion feature and Calculator in a cloud-connected world.The goal for this feature is to make the Converter the one-stop-shop for unit conversions, in particular for scientific and educational settings.<!--What problem are we trying to solve? Who’s the target audience? Is there a customer need or pain point we need to remedy? Is there a business goal or metric we are trying to improve? Do we have a hypothesis we want to prove or disprove?-->**Evidence or User Insights**<!--Why should we do this? Potential sources of data: Feedback Hub, other GitHub issues, other anecdotes from listening to customers in person or online, request from another team, telemetry data, user research, market or competitive research-->Various gaps have been identified and documented in existing issues:https://github.com/microsoft/calculator/issues/275 - month and ns for timehttps://github.com/microsoft/calculator/issues/325 - light years for distanceA Bing query for a unit conversion (https://www.bing.com/search?q=20+F+in+C) shows a 'Convert units' dialog with 17 categories (Length, Mass, Temperature, Speed, Volume, Area, Time, Frequency, Angle, Force, Pressure, Energy, Power, Electric Current, Voltage, Resistance, Digital storage, Fuel consumption) which is 4 more than calculator.The Wikipedia page for Length https://en.wikipedia.org/wiki/Conversion_of_units#Length lists 77 distinct distance units, which is 66 more than calculator.A Bing query can also support variable conversions such as currency conversions (https://www.bing.com/search?q=20+euro+in+dollar&FORM=AWRE) where the factor changes over time.**Proposal**<!--How will the solution/feature help us solve the problem? How will it meet the target audience’s needs? If there are business goals or metrics, how does this improve them?-->The related work to modernize the unit conversion architecture:https://github.com/microsoft/calculator/issues/379should consider making Converter fully data driven, and integrate with an online data-source or service so Converter can provide more comprehensive (and daily updatable) conversion tables without binary updates to Calculator itself.Assuming the existence of an online service which would aggregate and serve existing conversions from online sources (i.e. via an exposed search engine API or code-sharing), add currency services, scrape Wikipedia or other public sources, and allow for curation (to avoid errors), Converter could download and cache a conversion table that is much more comprehensive than the current version.**Goals**<!--What you want to accomplish with this feature. Typical examples include'User Can *perform some task*'-->User can convert anything that works in a search engine such as '20 dollars into euro' or '1 ly into mm' with Converter.**Non-Goals**<!--Things we are explicitly not doing or supporting or that are out of scope, including reasons why.-->Design and implementation of the web-service that aggregates and serves conversion data.**Low-Fidelity Concept**<!--Show as much of the experience as needed to explain the idea. This can be as simple as a napkin drawing but can also be a code prototype, or a design comp. Keep it simple at this stage, as it can be refined later during the pre-production stage.-->[Online Conversion Sources] + [Curators]  ----web service ---> [Conversion Table Artifact] ---download/update---> [Calculator] ---cache/use---> [Converter UI]**Requested Assignment**<!--Some people just want to suggest a feature and let someone else implement it.Other people want to not only suggest a feature, but implement it as well.Both scenarios are completely ok. We just want to know which one it is.We are likely to prioritize the review of feature requests if they already have someone who can implement them.Please indicate which bucket you fall into by keeping one and removing the other.-->I'm just suggesting this idea.  I don't want to implement it."|open|515|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Ensure the calculator uses correctly unary operations when the equal button is pressed|"## Fixes #264 ### Fix unary actions displaying faulty results when a binary operation precedes it![a2019-03-08_4-36-01](https://user-images.githubusercontent.com/1226538/54029006-e5846800-415b-11e9-8ef1-4911983c11c5.gif)- Type a random binary operation: `3 + 5` (for example)- press Enter- Use an unary action (Power or square root for example)- press Enter### Make unary operations (including <kbd>+/-</kbd> ) are repeatable when the equal button is pressed instead of using the last binary action done.![76B914F7-E585-488A-AEAC-906926574955](https://user-images.githubusercontent.com/1226538/58091046-7e345c80-7b7d-11e9-850d-69c6ee78f791.GIF)- Type a random binary operation: 3 + 5 (for example)- press Enter- Use an unary action (Power or square root for example)- press Enter- press Enter- press Enter### Description of the changes:- Add support of unary actions in `ResolveHighestPrecedenceOperation`- Modify `ProcessCommandWorker` to set `m_nOpCode`, `m_bNoPrevEqu` when an unary action is used.### How changes were validated:- manually tested"|open|513|EriWong|[{"id":1265286666,"node_id":"MDU6TGFiZWwxMjY1Mjg2NjY2","url":"https://api.github.com/repos/microsoft/calculator/labels/fixing%20approved%20issue","name":"fixing approved issue","color":"bfe5bf","default":false,"description":""}]|null
keyboard input sometimes broken when multiple instances open|"**Describe the bug**If you have more than one instance of Calculator open, which ever instance is not the 'original' will lose certain keyboard functions. For example pressing `escape` to clear, `backspace` to backspace and `enter` to sum. These keyboard keys no longer work on the second instance. I cannot reproduce this 100% of the time. But every time I have encountered this problem, it was when multiple instances were opened. And **Steps To Reproduce**1. Open calculator2. Hold shift and lose focus of the window (easiest way to do this is just to hold shift and left click somewhere outside the window)3. Regain focus of the window4. Press keys such as `enter` `backspace` `escape` `p` `l` `x` `y` and probably more**Expected behavior**Keyboard input should be observed no matter how many instances of calculator are open. **Device and Application Information** - OS Build: 10     0      17134  0' - Architecture: X64 - Application Version: 10.1903.21.0 - Region:  en-US - Dev Version Installed: False > Note: A team member edited this comment to clarify steps to reproduce."|open|508|undefined|[{"id":1243464566,"node_id":"MDU6TGFiZWwxMjQzNDY0NTY2","url":"https://api.github.com/repos/microsoft/calculator/labels/Area:%20User%20Experience","name":"Area: User Experience","color":"ffe1c1","default":false,"description":"Issue primarily affects end user expereince and are not covered by other areas"},{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1243554284,"node_id":"MDU6TGFiZWwxMjQzNTU0Mjg0","url":"https://api.github.com/repos/microsoft/calculator/labels/Pri:%202","name":"Pri: 2","color":"EEEEEE","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1243354701,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAx","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20approved","name":"triage approved","color":"bfe5bf","default":false,"description":"Issue has been approved by Calculator team member"}]|null
Copy paste result contains hidden character|"<!--Before filing a bug- Ensure the bug reproduces on the latest version of the app.- Search existing issues and make sure this issue is not already filed.-->**Describe the bug**<!-- A clear and concise description of what the bug is. -->Copy paste result contains hidden tailing character `U+202C` which can cause syntax errors to programming languages or breaks in Excel.**Steps To Reproduce**Steps to reproduce the behavior:1. Key in an integer.2. Double click the number to select it.3. CTRL+C.4. CTRL+V else where, such as a code editor.**Expected behavior**A clean set of digits entered as valid syntax and works in Excel as a number.**Screenshots**<!-- If applicable, add screenshots to help explain your problem. -->![image](https://user-images.githubusercontent.com/28769707/57606683-f3ab9600-759b-11e9-94f1-d634b5d0f46e.png)**Device and Application Information** - OS Build: 10.0.17134.0 - Architecture: X64 - Application Version: 10.1903.21.0 - Region: en-SG  - Dev Version Installed: False<!--Run the following commands in Powershell and copy/paste the output.' - OS Build: $([Environment]::OSVersion.Version)'' - Architecture: $((Get-AppxPackage -Name Microsoft.WindowsCalculator).Architecture)'' - Application Version: $((Get-AppxPackage -Name Microsoft.WindowsCalculator).Version)'' - Region: $((Get-Culture).Name)'' - Dev Version Installed: $($null -ne (Get-AppxPackage -Name Microsoft.WindowsCalculator.Dev))'-->**Additional context**<!-- Add any other context about the problem here. -->"|open|504|joseartrivera|[{"id":1243464566,"node_id":"MDU6TGFiZWwxMjQzNDY0NTY2","url":"https://api.github.com/repos/microsoft/calculator/labels/Area:%20User%20Experience","name":"Area: User Experience","color":"ffe1c1","default":false,"description":"Issue primarily affects end user expereince and are not covered by other areas"},{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1243354700,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAw","url":"https://api.github.com/repos/microsoft/calculator/labels/Pri:%203","name":"Pri: 3","color":"EEEEEE","default":false,"description":""},{"id":1243354701,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAx","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20approved","name":"triage approved","color":"bfe5bf","default":false,"description":"Issue has been approved by Calculator team member"}]|null
Refresh Approximation units (aka 'Whimsical' units)|"**Problem Statement**In general, we want to provide 'real world' approximations for conversions to help users conceptually grasp the magnitude of the values being displayed while performing unit conversions. However, we do not currently scale these approximations or document them as well as we should.**Evidence or User Insights**The community has identified gaps in our documentation in regards to these units (#120). There is also some confusion around when we decide to show which units (#335).**Proposal**Improve the approximation units we display and how we display them by defining an appropriate scaled set of approximations for each applicable unit converter type and auditing the set of units we display today for accuracy. We should also more thoroughly documenting these units.**Goals*** Present representative approximations across all applicable unit converters* Approximations are accurate and scale appropriately with magnitude of inputted values (e.g., maybe we should add 'Olympic size swimming pool' for really large volumes)**Non-Goals*** None**Low-Fidelity Concept**N/A (we should leverage the existing design)."|open|497|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Add setting to allow user to change default launch behavior|"I loved the old Calculator because it was so quick to just <kbd>Win</kbd>, 'calc', <kbd>Enter</kbd>, and do some quick math.But now, this process is often super slow because the new Calculator app opens up with the last random mode I was in. Could be Currency, could be Length, doesn't matter. I love that the modes are there, but what I most often want when I open calculator is to do some quick math. It's very rare, if ever at all, that I actually want to do a conversion, and _even more rare_ that I want to do the _same exact_ conversion type that I did last time.It's especially annoying because switching back to Standard mode is so slow.0. **Launch 'Calculator'**1. Leave my keyboard2. Find my mouse3. Click the hamburger button4. Scroll up to find Standard5. Click on it6. Move hand back to keyboard7. Finally, **Actually do the calculation**Steps 1-6 are super annoying. Please make Standard the default mode. Or at least default to the most recently used *normal* calculator (i.e. Standard or Scientific)."|open|486|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
Add support for default decimal places for users commonly performing math related to currency such as those in accounting roles|"**Problem Statement**Accounting users that utilize traditional desktop calculators often want to default to having 2 digits after a decimal because they are constantly entering currency values. **Evidence or User Insights**Having to enter a period to denote cents adds a great deal of additional data entry throughout the course of a day and is one of the primary barriers to switching from a printer with a paper spool to a computerized calculator.**Proposal**Add a setting to configure the starting position when inputting data. The default would be as it currently works, but setting it to -2 would place it in the hundredths, -3 would be thousandths and 3 would be thousands, etc.Alternate solution: Add an accounting mode option just as there is a scientific mode option. This option would be designed for users working with currency values regularly.**Goals**Increase user adoption of the calculator by meeting needs of accountants and office workers that deal with currencies regularly.**Low-Fidelity Concept**If the user enters '1' it would display as '0.01'If the user enters '1' followed by '2' it would display as '0.12'If the user entered '1 followed by '2' followed by '3' it would display as '1.23'"|open|485|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1252062018,"node_id":"MDU6TGFiZWwxMjUyMDYyMDE4","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20more%20info","name":"needs more info","color":"fef2c0","default":false,"description":"Issue requires more information from poster"}]|null
Enable keyboard entry in bit-toggling mode|"**Problem Statement**When the bit toggling keypad is active in the Programmer calculator, the keyboard no longer functions for input.**Evidence or User Insights**I'm an embedded firmware developer, and I use the Programmer calculator frequently with both keypads, especially when doing low-level microcontroller register programming. When I'm working, I frequently find myself alt-tabbing over to the calculator to do a quick calculation and start typing, only to discover that nothing is happening because I've left the bit toggling keypad open. I then have to grab the mouse and click on the full-keypad icon before I can continue. I've found this to be extremely frustrating.**Proposal**Allow the keyboard functionality that is available with the full keypad to continue working when the the bit toggling keypad is active. For example, in hex mode, 0–9, a–f, the operator keys, ESC, Enter, etc., will continue working exactly as they do with the full keypad, even though the bit toggling keypad is active.This is touched on briefly in #157 (which I also fully support), but the focus of that issue is keyboard navigation, while this is specifically about keyboard input while the bit toggling keypad is visible.**Goals**- Keyboard input is enabled and behavior is identical in the Programmer calculator, regardless of which keypad is active.**Non-Goals**- Enhanced keyboard navigation (which I fully support, but which is covered more directly by #157)."|open|478|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1355573903,"node_id":"MDU6TGFiZWwxMzU1NTczOTAz","url":"https://api.github.com/repos/microsoft/calculator/labels/approved","name":"approved","color":"bfe5bf","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"}]|null
Fix automatic scientific notation|"## Fixes #226 .### Description of the changes:- Disable scientific notation in Standard Mode.- In Scientific Mode 'auto-scientific' behavior is preserved, added ability to untoggle the F-E button to force a decimal result. If a user manually disables F-E, state is preserved until the user clears all input or switches modes.### How changes were validated:- Manual"|open|446|joseartrivera|[{"id":1265286666,"node_id":"MDU6TGFiZWwxMjY1Mjg2NjY2","url":"https://api.github.com/repos/microsoft/calculator/labels/fixing%20approved%20issue","name":"fixing approved issue","color":"bfe5bf","default":false,"description":""},{"id":1316965727,"node_id":"MDU6TGFiZWwxMzE2OTY1NzI3","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20author%20feedback","name":"needs author feedback","color":"fef2c0","default":false,"description":""},{"id":1449021577,"node_id":"MDU6TGFiZWwxNDQ5MDIxNTc3","url":"https://api.github.com/repos/microsoft/calculator/labels/no%20recent%20activity","name":"no recent activity","color":"eeeeee","default":false,"description":""}]|null
Using the up-arrow to select items in the conversion list only works when down-arrow not used and list is scrolled|"<!--Before filing a bug- Ensure the bug reproduces on the latest version of the app.- Search existing issues and make sure this issue is not already filed.-->**Describe the bug**<!--A clear and concise description of what the bug is.-->This is a complicated visual bug. When the Conversions hamburger menu is open, scrolling to the bottom and using the up arrow, the list will scroll but will not select items. When it gets to the stop, 'Standard' will be cut off and the hamburger icon will be selected. Using the down arrow and up arrows will allow any item in the list to be selected. When closing the menu and going back into it, the items select as normal most of the time.**Steps To Reproduce**<!--Steps to reproduce the behavior:1. Go to '...'2. Click on '....'3. Scroll down to '....'4. See error-->1. Open Calculator2. Open the hamburger menu, don't click on any items, and scroll to the bottom4. Close the hamburger menu5. Re-open the hamburger menu6. Click on 'Standard'7. Re-open the hamburger menu, scroll to the bottom8. Place your cursor over the last menu item (sometimes this works)9. Press the up arrow key many times. Sometimes, it will do nothing, sometimes it will scroll the list but will not select any items.10. I have attached a screenshot of what happens when you get to the top.11. When the hamburger item is selected, pressing the down arrow will select Standard. This appears to be the only way to select standard when in this state (Standard will not be automatically selected on first-try).**Expected behavior**<!--A clear and concise description of what you expected to happen.-->The arrow keys always select an item, and will not scroll the list without selecting an item. Also, the 'Standard' text at the top will not be clipped. The standard item will be selected rather than being clipped, as the hamburger menu is selected.**Screenshots**<!--If applicable, add screenshots to help explain your problem.-->![image](https://user-images.githubusercontent.com/7844441/55496894-71cc6280-5616-11e9-9346-2c6315de76f6.png)**Device and Application Information (please complete the following information):**- OS Build: 10.0.17763.0- Architecture: X64- Application Version: 10.1902.42.0<!--Run the following commands in Powershell and copy/paste the output.' - OS Build: $([Environment]::OSVersion.Version)'' - Architecture: $((Get-AppxPackage -Name Microsoft.WindowsCalculator).Architecture)'' - Application Version: $((Get-AppxPackage -Name Microsoft.WindowsCalculator).Version)'-->**Additional context**<!--Add any other context about the problem here.-->Hovering over the scroll bar while the hamburger menu item is selected, then hover over standard, then pressing down causes the about button to be selected. When pressing up, the hamburger menu item is selected, skipping the other items. It is not possible to select anything else until the mouse is moved.However, when the last item is selected with the white box (Angle), hovering over the scroll bar and then over to angle, then using the arrow keys selects the next item. I'm not sure if this is intended or not."|open|421|undefined|[{"id":1243464566,"node_id":"MDU6TGFiZWwxMjQzNDY0NTY2","url":"https://api.github.com/repos/microsoft/calculator/labels/Area:%20User%20Experience","name":"Area: User Experience","color":"ffe1c1","default":false,"description":"Issue primarily affects end user expereince and are not covered by other areas"},{"id":1243354698,"node_id":"MDU6TGFiZWwxMjQzMzU0Njk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Bug","name":"Bug","color":"ee0701","default":false,"description":"Issue is a bug"},{"id":1243354700,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAw","url":"https://api.github.com/repos/microsoft/calculator/labels/Pri:%203","name":"Pri: 3","color":"EEEEEE","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1243354701,"node_id":"MDU6TGFiZWwxMjQzMzU0NzAx","url":"https://api.github.com/repos/microsoft/calculator/labels/triage%20approved","name":"triage approved","color":"bfe5bf","default":false,"description":"Issue has been approved by Calculator team member"}]|null
Add 'Running' conversions category|"**Problem Statement**Distance running is a constant interplay between space, time, and pain. Eavesdrop into any discussion between runners, and you’ll be constantly hearing about paces, race times, interval splits, and hitting the wall. Athletes and coaches need to convert between different speed, pace, and race time measures when they are planning their training or races. These conversions are mentally difficult to perform, and even to think of an algorithm for, if the runner is not mathematically inclined.**Evidence or User Insights**A [web search](https://www.bing.com/search?q=running+pace+conversion) can get us a lot of charts and online calculators that try to address this problem, but they usually provide conversions for a small set of data points, and only for a few measurements (usually between minutes per mile and minutes per kilometer paces).Yet, distance running is an extremely popular sport, and very available to everyone. In 2018, more than 18 million people registered for road races just in the USA ([reference](https://runningusa.org/RUSA/News/2019/Running_USA_Releases_2019_U.S._Running_Trends_Report.aspx)). Helping this broad user base around the world easily solve their conversion problems would bring them one step closer to achieving their goals.**Proposal**We propose to introduce a new conversion mode into Windows Calculator that would make these conversions easy for everyone interested in or practicing running.A typical list of measures would include:* Speed: Miles per hour* Speed: Kilometers per hour* Pace: Minutes per mile* Pace: Minutes per kilometer* Race time: 5K* Race time: 10K* Race time: Half marathon* Race time: Marathon* Intervals: 200m time* Intervals: 400m time* Intervals: 600m time* Intervals: 800m time**Goals**With this mode, a user would be able to solve real world problems such as:* What pace do I need to run to achieve my goal 42:00 time in a 10K race?* My training plan shows paces in minutes per kilometer, but I am using minutes per mile, how can I change them using Windows Calculator?* What speed do I set the treadmill to for my interval workout? The plan specifies paces.* What’s the target pace for 1’15” 400m intervals?* If I could run as fast as Eliud Kipchoge when he achieved his latest Marathon world record, what would my 5K time be? (The right answer is “you probably can’t” but the calculator would show 14:24. Wow. I can't *think* that fast, let alone run.)**Non-Goals**Calculating race times and paces for non-standard race distances, including ultras.**Low-Fidelity Concept**![image](https://user-images.githubusercontent.com/29615544/55478410-5a947180-5624-11e9-87cc-3113a460bf5f.png)"|open|419|undefined|[{"id":1243469398,"node_id":"MDU6TGFiZWwxMjQzNDY5Mzk4","url":"https://api.github.com/repos/microsoft/calculator/labels/Enhancement","name":"Enhancement","color":"84b6eb","default":false,"description":""},{"id":1211612173,"node_id":"MDU6TGFiZWwxMjExNjEyMTcz","url":"https://api.github.com/repos/microsoft/calculator/labels/help%20wanted","name":"help wanted","color":"008672","default":true,"description":"Issues identified as good community contribution opportunities"},{"id":1376241572,"node_id":"MDU6TGFiZWwxMzc2MjQxNTcy","url":"https://api.github.com/repos/microsoft/calculator/labels/needs%20spec","name":"needs spec","color":"fef2c0","default":false,"description":""}]|null
